Date,Open,High,Low,Close,Adj Close,Volume_M
8/2/2012,311.587097,317.82373,310.541016,627.028503,313.20105,3.9701
8/3/2012,318.805054,320.658081,316.882233,639.574097,319.46756,3.8083
8/6/2012,318.610779,323.477539,318.416504,641.059998,320.209778,3.578
8/7/2012,319.696686,320.927094,317.046631,638.786255,319.074036,3.9783
8/8/2012,318.331818,321.729095,318.057831,640.471558,319.915863,2.6542
8/9/2012,321.051605,321.978149,319.562195,640.591248,319.975647,2.1485
8/10/2012,318.102661,319.920868,316.877258,640.242249,319.8013,2.8798
8/13/2012,322.50119,328.842407,322.132568,658.202942,328.772675,6.5602
8/14/2012,328.394104,335.168701,328.269562,666.829285,333.081543,7.3508
8/15/2012,333.888489,335.866089,330.810028,665.712341,332.523621,4.8394
8/16/2012,332.508667,336.060364,332.294464,671.027771,335.17868,3.4482
8/17/2012,335.801331,337.360504,334.595856,675.286011,337.305695,4.3716
8/20/2012,336.48877,338.16748,335.074066,673.69043,336.508698,3.5293
8/21/2012,335.298218,337.7341,329.848633,667.676941,333.504944,4.461
8/22/2012,332.443909,339.029236,332.105194,675.325928,337.325623,3.8326
8/23/2012,335.876068,338.969452,334.247162,674.94696,337.136322,3.5817
8/24/2012,336.538574,338.954529,335.781403,676.771973,338.047913,2.8638
8/27/2012,330.257111,334.7453,328.38913,667.387695,333.360474,5.2469
8/28/2012,331.258362,337.5448,331.128845,675.395752,337.360504,4.1326
8/29/2012,337.420258,343.208557,336.812531,686.126282,342.720398,6.0029
8/30/2012,340.842438,342.41156,338.820007,679.813599,339.56723,3.2659
8/31/2012,340.7229,343.004333,338.750275,683.214233,341.265839,4.27
9/4/2012,340.996857,341.221008,335.492493,679.175354,339.248413,3.7932
9/5/2012,338.730347,341.968231,338.301971,678.856262,339.08902,3.4291
9/6/2012,341.699219,348.638214,341.086517,697.485107,348.394135,6.1097
9/7/2012,348.693024,354.795135,347.532349,704.216614,351.756531,6.4901
9/10/2012,353.554779,355.074097,347.891022,698.851318,349.076569,5.1391
9/11/2012,347.676819,349.016785,344.209808,690.2948,344.802582,3.7615
9/12/2012,343.417786,346.157532,339.168701,688.988464,344.150055,5.3043
9/13/2012,345.250916,353.176208,343.980682,704.106873,351.701721,5.3379
9/14/2012,353.475098,355.168732,352.184937,707.737,353.514954,5.2565
9/17/2012,352.73288,355.108978,351.183685,708.036072,353.664368,3.0278
9/18/2012,352.568481,357.988159,352.070343,716.313416,357.798889,4.149
9/19/2012,357.410339,362.919678,356.867371,725.508118,362.391663,6.2197
9/20/2012,360.882324,364.324432,359.263397,726.126465,362.7005,5.8365
9/21/2012,364.737885,366.087799,363.696777,731.980347,365.624542,12.7658
9/24/2012,364.135132,373.619568,363.761536,747.328247,373.290802,7.1542
9/25/2012,375.118958,381.016846,372.434021,747.108826,373.181213,12.1624
9/26/2012,373.524933,379.198669,369.116455,751.397095,375.323212,11.3882
9/27/2012,378.556091,379.995697,374.42157,754.428772,376.837524,7.8916
9/28/2012,375.666901,378.2323,374.172516,752.434204,375.841248,5.5877
10/1/2012,378.107758,381.071655,376.693054,759.694275,379.467651,6.3597
10/2/2012,381.171265,381.564789,373.734161,754.917419,377.081604,5.6012
10/3/2012,376.448975,380.533661,374.695557,760.412354,379.826324,4.4331
10/4/2012,379.950836,383.507507,378.282104,765.947083,382.590942,4.9267
10/5/2012,383.915985,385.744141,381.07663,765.548218,382.391693,5.4922
10/8/2012,379.079132,380.364288,375.666901,755.765076,377.505005,3.9318
10/9/2012,378.416595,379.238525,369.878601,742.052734,370.655701,6.0289
10/10/2012,369.544861,372.369263,367.76651,742.521423,370.889801,4.095
10/11/2012,375.04425,377.833801,373.74411,749.422485,374.336884,4.7856
10/12/2012,374.52121,376.025574,370.660675,742.710938,370.984467,4.8264
10/15/2012,369.584717,370.526184,363.985687,738.951233,369.106506,6.0607
10/16/2012,368.683075,372.100281,366.85495,742.661072,370.959564,4.1318
10/17/2012,370.585968,376.757813,368.747833,753.421509,376.334412,4.6029
10/18/2012,376.359314,378.292053,336.737823,693.097168,346.202362,24.9779
10/19/2012,351.472595,352.030518,334.7453,679.923279,339.622009,23.0504
10/22/2012,339.233459,341.036713,333.599579,676.811829,338.067841,8.1415
10/23/2012,334.750275,342.381683,334.7453,678.487244,338.904694,5.855
10/24/2012,342.117645,342.217285,336.374176,675.445618,337.385406,5.0116
10/25/2012,338.730347,339.726624,335.497467,675.904297,337.614532,4.8201
10/26/2012,336.986877,340.239685,334.346771,673.301514,336.314423,3.9162
10/31/2012,338.660614,339.228485,336.239685,678.437378,338.879791,3.0854
11/1/2012,338.481293,344.160004,338.092743,685.707397,342.511169,4.1155
11/2/2012,346.097748,346.476318,342.401581,686.036499,342.675568,4.6661
11/5/2012,340.971954,342.147552,336.518646,681.090088,340.204834,3.2839
11/6/2012,341.460114,341.968231,337.509918,679.853516,339.587158,3.1773
11/7/2012,336.239685,337.848663,332.00058,665.293457,332.314392,4.4812
11/8/2012,333.848663,334.491241,324.399078,650.504089,324.927094,5.2133
11/9/2012,326.102692,332.922119,323.935822,661.214661,330.277039,6.2515
11/12/2012,330.635681,333.649414,329.20108,664.076843,331.706696,2.8223
11/13/2012,330.262085,332.553497,327.886017,657.245544,328.294464,3.2002
11/14/2012,329.096466,329.853638,324.035431,650.763367,325.05661,3.3492
11/15/2012,323.786377,328.7677,320.747772,645.487854,322.421478,3.7115
11/16/2012,321.788849,325.290741,316.8125,645.40802,322.381622,6.902
11/19/2012,326.625732,333.211029,326.541046,666.380493,332.857361,4.7541
11/20/2012,333.504944,337.7341,331.044159,668.13562,333.73407,4.1929
11/21/2012,333.245911,333.649414,328.966949,664.046875,331.691742,4.2402
